id,front,back,example
1,يحقق,للوصول بنجاح إلى هدف أو نتيجة.,الطلاب الذين يضعون أهدافاً واضحة هم أكثر عرضة لتحقيق النجاح الأكاديمي.
2,يؤثر,أن يكون له تأثير أو نفوذ على شيء ما.,يمكن أن يؤثر تلوث الهواء سلبًا على صحة سكان المدن.
3,تحليل,فحص شيء ما بالتفصيل لفهمه.,يجب على الباحثين تحليل البيانات بعناية قبل استخلاص النتائج.
4,يقترب,طريقة أو أسلوب للتعامل مع شيء ما.,يأخذ النهج الشامل في التعليم في الاعتبار الاحتياجات الاجتماعية والعاطفية للطلاب.
5,وجه,جزء أو ميزة معينة من شيء ما.,يُعد خفض انبعاثات الكربون أحد الجوانب الرئيسية للتنمية المستدامة.
6,يٌقيِّم,لتقييم أو الحكم على جودة شيء ما.,يتعين على الحكومات تقييم الأثر البيئي للمشاريع الصناعية الجديدة.
7,يفترض,قبول شيء ما على أنه صحيح دون دليل.,غالباً ما يُفترض أن النمو الاقتصادي يؤدي تلقائياً إلى تحسين مستويات المعيشة.
8,سلوك,رأي أو شعور راسخ تجاه شيء ما.,لقد تغيرت المواقف العامة تجاه الطاقة المتجددة بشكل كبير في السنوات الأخيرة.
9,متاح,يمكن استخدامه أو الحصول عليه.,ينبغي إتاحة الوصول إلى الإنترنت لجميع المواطنين بغض النظر عن دخلهم.
10,فائدة,ميزة أو نتيجة إيجابية من شيء ما.,توفر التمارين الرياضية المنتظمة فوائد عديدة للصحة البدنية والعقلية على حد سواء.
11,سبب,شيء ينتج عنه تأثير أو نتيجة.,كثيراً ما يُشار إلى الفقر باعتباره سبباً جذرياً لعدم المساواة الاجتماعية.
12,تحدي,مشكلة أو مهمة صعبة تتطلب جهداً.,يمثل تغير المناخ أحد أكبر التحديات التي تواجه المجتمع الحديث.
13,مواطن,عضو معترف به قانونًا في دولة ما.,من واجب كل مواطن المشاركة في الانتخابات الديمقراطية.
14,مطالبة,أن تقول شيئاً على أنه صحيح أو أن تطالب به كحق.,يزعم بعض الباحثين أن وسائل التواصل الاجتماعي تضر بالصحة النفسية للمراهقين.
15,تصنيف,لترتيب الأشياء في فئات أو مجموعات.,يصنف العلماء الكائنات الحية وفقًا لخصائصها الجينية والفيزيائية.
16,مجتمع,مجموعة من الأشخاص يتشاركون موقعًا أو اهتمامًا مشتركًا.,تساعد شبكات الدعم المجتمعي القوية في الحد من العزلة الاجتماعية بين كبار السن.
17,يقارن,لفحص أوجه التشابه والاختلاف بين الأشياء.,ستقارن هذه المقالة بين فعالية أنظمة الرعاية الصحية العامة والخاصة.
18,معقد,مصنوع من أجزاء مترابطة كثيرة؛ يصعب فهمه.,إن العلاقة بين الفقر والجريمة معقدة للغاية ومتعددة الأوجه.
19,مفهوم,فكرة مجردة أو مبدأ عام.,يُعد مفهوم الاستدامة محورياً في السياسة البيئية الحديثة.
20,هَم,قلق أو مشكلة تسبب القلق أو الاهتمام.,وقد دفع القلق المتزايد بشأن التلوث البلاستيكي العديد من الحكومات إلى اتخاذ إجراءات.
21,ختاماً,التوصل إلى قرار أو حكم بعد التفكير والتدبر.,وخلصت الدراسة إلى أن ممارسة الرياضة بانتظام تقلل بشكل كبير من خطر الإصابة بالاكتئاب.
22,حالة,الحالة أو الظروف التي تؤثر على شيء ما.,لا يزال تحسين الظروف المعيشية في المناطق الريفية يمثل أولوية لصناع السياسات.
23,سلوك,القيام بنشاط ما؛ سلوك أو أسلوب.,ستجري الجامعة دراسة طولية حول رفاهية الطلاب على مدى خمس سنوات.
24,عاقبة,نتيجة أو أثر فعل أو حدث.,تترتب على إزالة الغابات عواقب وخيمة على التنوع البيولوجي وأنماط المناخ العالمية.
25,يعتبر,أن تفكر ملياً في الأمر قبل اتخاذ القرار.,يجب على صانعي السياسات مراعاة الآثار طويلة المدى لرفع سن التقاعد.
26,يتكون,أن يكون مكوناً من أجزاء أو يتألف منها.,ينبغي أن يتكون النظام الغذائي المتوازن من البروتينات والكربوهيدرات والدهون والفيتامينات والمعادن.
27,استهلك,استهلاك مورد ما أو تناول/شرب شيء ما.,تستهلك الدول المتقدمة موارد طبيعية للفرد الواحد أكثر بكثير من الدول النامية.
28,يساهم,المساهمة أو الإضافة إلى جهد أو نتيجة جماعية.,يمكن أن يساهم العمل التطوعي بشكل كبير في كل من التنمية الشخصية ورفاهية المجتمع.
29,يتحكم,تنظيم شيء ما أو امتلاك سلطة عليه.,يُعدّ فرض رقابة حكومية أكثر صرامة على الانبعاثات الصناعية أمراً ضرورياً لمكافحة تلوث الهواء.
30,يخلق,إيجاد شيء ما.,يمكن للاستثمار في الطاقة المتجددة أن يخلق آلاف الوظائف الجديدة في مختلف قطاعات الاقتصاد.
31,ثقافة,معتقدات وعادات وفنون المجتمع.,لقد أثرت العولمة إيجاباً وسلباً على الثقافات المحلية في جميع أنحاء العالم.
32,بيانات,حقائق أو إحصائيات يتم جمعها لأغراض التحليل.,تُعد البيانات الموثوقة ضرورية لوضع سياسات فعالة للصحة العامة.
33,انخفاض,أن يتناقص أو يصغر حجمه بمرور الوقت.,شهدت التنوع البيولوجي انخفاضاً حاداً بسبب النشاط البشري خلال العقود الأخيرة.
34,يُعرِّف,لبيان معنى أو طبيعة شيء ما.,"من المهم تحديد مصطلح ""الاستدامة"" بوضوح قبل مناقشة الحلول السياسية."
35,يطلب,الحاجة أو الرغبة في الحصول على سلعة أو خدمة.,إن الطلب المتزايد على السيارات الكهربائية يدفع الابتكار في تكنولوجيا البطاريات.
36,يعتمد,الاعتماد على شخص أو شيء ما للحصول على الدعم.,تعتمد العديد من الدول النامية بشكل كبير على المساعدات الخارجية لتطوير البنية التحتية الأساسية.
37,يصف,أن تصف شيئاً ما بالكلمات.,يصف التقرير زيادة كبيرة في متوسط ​​درجات الحرارة العالمية منذ عام 1950.
38,يطور,أن ينمو، أو يتقدم، أو يخلق شيئاً جديداً.,يتعين على الدول تطوير الزراعة المستدامة لتلبية احتياجات السكان المتزايدة.
39,اختلاف,طريقة تختلف بها الأشياء عن بعضها البعض.,يوجد فرق كبير في مستويات الدخل بين سكان المدن وسكان الريف.
40,توزيع,نشر أو توصيل شيء ما عبر منطقة ما.,تقع على عاتق الحكومات مسؤولية توزيع الموارد العامة بشكل عادل بين المواطنين.
