id,front,back,example
1,অর্জন করা,সফলভাবে একটি লক্ষ্য বা ফলাফলে পৌঁছানো।,যেসব শিক্ষার্থী স্পষ্ট লক্ষ্য নির্ধারণ করে তাদের একাডেমিক সাফল্য অর্জনের সম্ভাবনা বেশি।
2,প্রভাবিত করা,কোন কিছুর উপর প্রভাব বা প্রভাব বিস্তার করা।,বায়ু দূষণ নগরবাসীর স্বাস্থ্যের উপর বিরূপ প্রভাব ফেলতে পারে।
3,বিশ্লেষণ করা,কোন কিছু বোঝার জন্য বিস্তারিতভাবে পরীক্ষা করা।,গবেষকদের সিদ্ধান্তে পৌঁছানোর আগে সাবধানে তথ্য বিশ্লেষণ করতে হবে।
4,পদ্ধতি,কোনও কিছুর সাথে মোকাবিলা করার একটি পদ্ধতি বা উপায়।,শিক্ষার ক্ষেত্রে একটি সামগ্রিক দৃষ্টিভঙ্গি শিক্ষার্থীদের সামাজিক এবং মানসিক চাহিদা বিবেচনা করে।
5,দিক,কোনও কিছুর একটি নির্দিষ্ট অংশ বা বৈশিষ্ট্য।,টেকসই উন্নয়নের একটি গুরুত্বপূর্ণ দিক হল কার্বন নির্গমন হ্রাস করা।
6,মূল্যায়ন করা,কোনও কিছুর গুণমান মূল্যায়ন বা বিচার করা।,সরকারগুলিকে নতুন শিল্প প্রকল্পের পরিবেশগত প্রভাব মূল্যায়ন করতে হবে।
7,ধরে নেওয়া,প্রমাণ ছাড়াই কোন কিছুকে সত্য বলে মেনে নেওয়া।,প্রায়শই ধরে নেওয়া হয় যে অর্থনৈতিক প্রবৃদ্ধি স্বয়ংক্রিয়ভাবে জীবনযাত্রার মান উন্নত করে।
8,মনোভাব,কোনও কিছু সম্পর্কে একটি স্থির মতামত বা অনুভূতি।,সাম্প্রতিক বছরগুলিতে নবায়নযোগ্য জ্বালানির প্রতি জনসাধারণের দৃষ্টিভঙ্গি উল্লেখযোগ্যভাবে পরিবর্তিত হয়েছে।
9,উপলব্ধ,ব্যবহার বা প্রাপ্ত করার যোগ্য।,আয় নির্বিশেষে সকল নাগরিকের জন্য ইন্টারনেট অ্যাক্সেস উপলব্ধ করা উচিত।
10,সুবিধা,কোনও কিছুর সুবিধা বা ইতিবাচক ফলাফল।,নিয়মিত ব্যায়াম শারীরিক এবং মানসিক উভয় স্বাস্থ্যের জন্যই অসংখ্য উপকারিতা প্রদান করে।
