id,front,back,example
1,lograr,Alcanzar con éxito una meta o resultado.,Los estudiantes que establecen objetivos claros tienen más probabilidades de alcanzar el éxito académico.
2,afectar,Tener un impacto o influencia sobre algo.,La contaminación del aire puede afectar negativamente la salud de las poblaciones urbanas.
3,analizar,Examinar algo en detalle para comprenderlo.,Los investigadores deben analizar cuidadosamente los datos antes de sacar conclusiones.
4,acercarse,Un método o forma de tratar algo.,Un enfoque holístico de la educación considera las necesidades sociales y emocionales de los estudiantes.
5,aspecto,Una parte o característica particular de algo.,Un aspecto clave del desarrollo sostenible es la reducción de las emisiones de carbono.
6,evaluar,Evaluar o juzgar la calidad de algo.,Los gobiernos deben evaluar el impacto ambiental de los nuevos proyectos industriales.
7,asumir,Aceptar algo como cierto sin pruebas.,A menudo se supone que el crecimiento económico mejora automáticamente el nivel de vida.
8,actitud,Una opinión o sentimiento establecido sobre algo.,Las actitudes públicas hacia la energía renovable han cambiado significativamente en los últimos años.
9,disponible,Capaz de ser utilizado u obtenido.,"El acceso a Internet debería estar disponible para todos los ciudadanos, independientemente de sus ingresos."
10,beneficio,Una ventaja o resultado positivo de algo.,El ejercicio regular proporciona numerosos beneficios tanto para la salud física como mental.
11,causa,Algo que produce un efecto o resultado.,La pobreza se cita con frecuencia como una causa fundamental de la desigualdad social.
12,desafío,Un problema o tarea difícil que requiere esfuerzo.,El cambio climático representa uno de los mayores desafíos que enfrenta la sociedad moderna.
13,ciudadano,Un miembro legalmente reconocido de un estado.,Es deber de todo ciudadano participar en las elecciones democráticas.
14,afirmar,Afirmar algo como verdadero o exigirlo como un derecho.,Algunos investigadores afirman que las redes sociales son perjudiciales para la salud mental de los adolescentes.
15,clasificar,Organizar cosas en categorías o grupos.,Los científicos clasifican los organismos según sus características genéticas y físicas.
16,comunidad,Un grupo de personas que comparten una ubicación o interés.,Las redes de apoyo comunitarias sólidas ayudan a reducir el aislamiento social entre las personas mayores.
17,comparar,Examinar similitudes y diferencias entre las cosas.,Este ensayo comparará la efectividad de los sistemas de salud públicos y privados.
18,complejo,Hecho de muchas partes interconectadas; difícil de entender.,La relación entre pobreza y delincuencia es sumamente compleja y multifacética.
19,concepto,Una idea abstracta o principio general.,El concepto de sostenibilidad es central en la política ambiental moderna.
20,inquietud,Una preocupación o problema que causa ansiedad o interés.,La creciente preocupación por la contaminación plástica ha impulsado a muchos gobiernos a actuar.
21,concluir,Llegar a una decisión o juicio después de razonar.,El estudio concluye que el ejercicio regular reduce significativamente el riesgo de depresión.
22,condición,El estado o las circunstancias que afectan a algo.,Mejorar las condiciones de vida en las zonas rurales sigue siendo una prioridad para los responsables políticos.
23,conducta,Realizar una actividad; conducta o manera.,La universidad realizará un estudio longitudinal sobre el bienestar de los estudiantes durante cinco años.
24,consecuencia,Un resultado o efecto de una acción o evento.,La deforestación tiene graves consecuencias para la biodiversidad y los patrones climáticos globales.
25,considerar,Pensar detenidamente sobre algo antes de decidir.,Los responsables políticos deben considerar las implicaciones a largo plazo de aumentar la edad de jubilación.
26,consistir,Estar formado o compuesto de partes.,"Una dieta equilibrada debe constar de proteínas, carbohidratos, grasas, vitaminas y minerales."
27,consumir,Usar un recurso o comer/beber algo.,Los países desarrollados consumen muchos más recursos naturales per cápita que los países en desarrollo.
