id,front,back,example
1,دستیابی,رسیدن موفقیت‌آمیز به یک هدف یا نتیجه.,دانش‌آموزانی که اهداف روشنی تعیین می‌کنند بیشتر احتمال دارد به موفقیت تحصیلی دست یابند.
2,تأثیر گذاشتن,تأثیر یا نفوذ بر چیزی داشتن.,آلودگی هوا می‌تواند به طور مضری بر سلامت جمعیت‌های شهری تأثیر بگذارد.
3,تحلیل کردن,بررسی دقیق چیزی برای درک آن.,محققان باید داده‌ها را پیش از نتیجه‌گیری به دقت تحلیل کنند.
4,رویکرد,روش یا شیوه‌ای برای پرداختن به چیزی.,رویکرد جامع به آموزش نیازهای اجتماعی و عاطفی دانش‌آموزان را در نظر می‌گیرد.
5,جنبه,بخش یا ویژگی خاصی از چیزی.,یکی از جنبه‌های کلیدی توسعه پایدار کاهش انتشار کربن است.
6,ارزیابی کردن,سنجش یا قضاوت درباره کیفیت چیزی.,دولت‌ها باید تأثیرات زیست‌محیطی پروژه‌های صنعتی جدید را ارزیابی کنند.
7,فرض کردن,پذیرفتن چیزی به عنوان حقیقت بدون دلیل.,اغلب فرض می‌شود که رشد اقتصادی به طور خودکار سطح زندگی را بهبود می‌بخشد.
8,نگرش,عقیده یا احساس ثابت نسبت به چیزی.,نگرش عمومی نسبت به انرژی تجدیدپذیر در سال‌های اخیر به طور قابل توجهی تغییر کرده است.
9,در دسترس,قابل استفاده یا قابل دستیابی.,دسترسی به اینترنت باید بدون توجه به درآمد برای همه شهروندان فراهم شود.
10,مزیت,یک امتیاز یا نتیجه مثبت از چیزی.,ورزش منظم فواید بی‌شماری برای سلامت جسمی و روانی دارد.
11,علت,چیزی که یک اثر یا نتیجه ایجاد می‌کند.,فقر اغلب به عنوان ریشه اصلی نابرابری اجتماعی ذکر می‌شود.
12,چالش,یک مشکل دشوار یا کار که نیاز به تلاش دارد.,تغییرات آب و هوایی یکی از بزرگترین چالش‌های جامعه مدرن است.
13,شهروند,عضو رسمی و قانونی یک دولت.,وظیفه هر شهروند است که در انتخابات دموکراتیک شرکت کند.
14,ادعا کردن,بیان چیزی به عنوان حقیقت یا مطالبه آن به عنوان حق.,برخی محققان ادعا می‌کنند که رسانه‌های اجتماعی به سلامت روان نوجوانان آسیب می‌زند.
15,طبقه‌بندی کردن,مرتب کردن چیزها در دسته‌ها یا گروه‌ها.,دانشمندان موجودات زنده را بر اساس ویژگی‌های ژنتیکی و فیزیکی طبقه‌بندی می‌کنند.
16,جامعه,گروهی از مردم که مکان یا علاقه مشترکی دارند.,شبکه‌های حمایتی قوی جامعه به کاهش انزوای اجتماعی در میان سالمندان کمک می‌کند.
17,مقایسه کردن,بررسی شباهت‌ها و تفاوت‌های بین چیزها.,این مقاله اثربخشی سیستم‌های بهداشتی عمومی و خصوصی را مقایسه خواهد کرد.
18,پیچیده,ساخته شده از بسیاری بخش‌های به هم پیوسته؛ دشوار برای درک.,رابطه بین فقر و جرم بسیار پیچیده و چندوجهی است.
19,مفهوم,یک ایده انتزاعی یا اصل کلی.,مفهوم پایداری در مرکز سیاست زیست‌محیطی مدرن قرار دارد.
