id,front,back,example
1,atteindre,Réussir à atteindre un objectif ou un résultat.,Les étudiants qui se fixent des objectifs clairs ont plus de chances de réussir leurs études.
2,affecter,Avoir un impact ou une influence sur quelque chose.,La pollution atmosphérique peut nuire à la santé des populations urbaines.
3,analyser,Examiner quelque chose en détail pour le comprendre.,Les chercheurs doivent analyser soigneusement les données avant de tirer des conclusions.
4,approche,Une méthode ou une manière de traiter quelque chose.,Une approche holistique de l'éducation prend en compte les besoins sociaux et émotionnels des élèves.
5,aspect,Une partie ou une caractéristique particulière de quelque chose.,Un aspect essentiel du développement durable est la réduction des émissions de carbone.
6,évaluer,Évaluer ou juger la qualité de quelque chose.,Les gouvernements doivent évaluer l'impact environnemental des nouveaux projets industriels.
7,supposer,Accepter quelque chose comme vrai sans preuve.,On suppose souvent que la croissance économique améliore automatiquement le niveau de vie.
8,attitude,Une opinion ou un sentiment bien arrêté sur quelque chose.,L’opinion publique à l’égard des énergies renouvelables a considérablement évolué ces dernières années.
9,disponible,Utilisable ou pouvant être obtenu.,"L'accès à Internet devrait être garanti à tous les citoyens, quel que soit leur revenu."
10,avantage,Un avantage ou un résultat positif découlant de quelque chose.,L'exercice physique régulier offre de nombreux bienfaits pour la santé physique et mentale.
11,cause,Quelque chose qui produit un effet ou un résultat.,La pauvreté est fréquemment citée comme une cause profonde des inégalités sociales.
12,défi,Un problème ou une tâche difficile qui exige des efforts.,Le changement climatique représente l'un des plus grands défis auxquels est confrontée la société moderne.
13,citoyen,Un membre légalement reconnu d'un État.,Il est du devoir de chaque citoyen de participer aux élections démocratiques.
14,réclamer,Affirmer quelque chose comme une vérité ou revendiquer un droit.,Certains chercheurs affirment que les réseaux sociaux sont néfastes pour la santé mentale des adolescents.
15,classer,Classer les choses par catégories ou groupes.,Les scientifiques classent les organismes selon leurs caractéristiques génétiques et physiques.
16,communauté,Un groupe de personnes partageant un lieu ou un intérêt commun.,Des réseaux de soutien communautaires solides contribuent à réduire l'isolement social chez les personnes âgées.
17,comparer,Examiner les similitudes et les différences entre les choses.,Cet essai comparera l'efficacité des systèmes de santé publics et privés.
18,complexe,Composé de nombreuses parties interconnectées ; difficile à comprendre.,La relation entre pauvreté et criminalité est extrêmement complexe et multiforme.
19,concept,Une idée abstraite ou un principe général.,Le concept de durabilité est central dans la politique environnementale moderne.
20,préoccupation,Un souci ou un problème qui suscite de l'anxiété ou de l'intérêt.,L'inquiétude croissante face à la pollution plastique a incité de nombreux gouvernements à agir.
21,conclure,Parvenir à une décision ou à un jugement après raisonnement.,L'étude conclut que l'exercice physique régulier réduit significativement le risque de dépression.
22,condition,L'état ou les circonstances qui affectent quelque chose.,L’amélioration des conditions de vie dans les zones rurales demeure une priorité pour les décideurs politiques.
23,conduire,Exécuter une activité ; un comportement ou une manière.,L'université mènera une étude longitudinale sur le bien-être des étudiants sur une période de cinq ans.
24,conséquence,Un résultat ou un effet d'une action ou d'un événement.,La déforestation a de graves conséquences sur la biodiversité et les régimes climatiques mondiaux.
25,considérer,Réfléchir attentivement avant de prendre une décision.,Les décideurs politiques doivent prendre en compte les conséquences à long terme du relèvement de l'âge de la retraite.
26,consister,Être composé de parties.,"Un régime alimentaire équilibré doit comprendre des protéines, des glucides, des lipides, des vitamines et des minéraux."
27,consommer,Utiliser une ressource ou manger/boire quelque chose.,Les pays développés consomment beaucoup plus de ressources naturelles par habitant que les pays en développement.
28,contribuer,Contribuer à un effort ou à un résultat collectif.,Le bénévolat peut contribuer grandement au développement personnel et au bien-être de la communauté.
29,contrôle,Réglementer ou avoir du pouvoir sur quelque chose.,Un contrôle gouvernemental plus strict des émissions industrielles est nécessaire pour lutter contre la pollution atmosphérique.
30,créer,Faire exister quelque chose.,L'investissement dans les énergies renouvelables peut créer des milliers de nouveaux emplois dans tous les secteurs de l'économie.
31,culture,"Les croyances, les coutumes et les arts d'une société.",La mondialisation a à la fois enrichi et menacé les cultures locales à travers le monde.
32,données,Faits ou statistiques recueillis à des fins d'analyse.,Des données fiables sont essentielles à l'élaboration de politiques de santé publique efficaces.
33,déclin,Diminuer ou devenir plus petit avec le temps.,Ces dernières décennies ont été marquées par un net déclin de la biodiversité dû à l'activité humaine.
34,définir,Énoncer la signification ou la nature de quelque chose.,Il est important de définir clairement le terme « durabilité » avant d'aborder les solutions politiques.
35,demande,Le besoin ou le désir d'un bien ou d'un service.,La demande croissante de véhicules électriques stimule l'innovation dans le domaine des technologies de batteries.
36,dépendre,Compter sur quelqu'un ou quelque chose pour obtenir du soutien.,De nombreux pays en développement dépendent fortement de l'aide étrangère pour le développement de leurs infrastructures de base.
37,décrire,Décrire quelque chose avec des mots.,Le rapport décrit une augmentation significative des températures moyennes mondiales depuis 1950.
38,développer,"Grandir, progresser ou créer quelque chose de nouveau.",Les pays doivent développer une agriculture durable pour répondre aux besoins d'une population croissante.
39,différence,Une façon dont les choses diffèrent les unes des autres.,Il existe une différence significative de niveaux de revenus entre les populations urbaines et rurales.
40,distribuer,Répandre ou distribuer quelque chose sur une zone.,Les gouvernements ont la responsabilité de répartir équitablement les ressources publiques entre les citoyens.
41,divers,Y compris de nombreux types ou variétés différents.,Une main-d'œuvre diversifiée apporte un plus large éventail de perspectives et d'idées à une organisation.
42,économique,Relatif à la production et à l'utilisation de la monnaie.,Le développement économique rapide a sorti des millions de personnes de la pauvreté en Asie.
43,éducation,Le processus de réception d'un enseignement systématique.,L'accès à une éducation de qualité est largement considéré comme un droit humain fondamental.
44,effet,Un changement ou un résultat produit par une cause.,Les effets à long terme du manque de sommeil sur les fonctions cognitives sont bien documentés.
45,émerger,Apparaître ou se faire connaître.,De nouvelles technologies continuent d'émerger comme solutions à la crise énergétique mondiale.
46,employer,Embaucher quelqu'un pour travailler contre rémunération.,Le secteur manufacturier continue d'employer une part importante de la population active nationale.
47,énergie,Énergie issue de ressources naturelles ou transformées.,La transition vers les sources d'énergie renouvelables est essentielle pour réduire les émissions de gaz à effet de serre.
48,environnement,Le monde naturel ou l'environnement d'un organisme.,La protection de l'environnement naturel devrait être une priorité tant pour les gouvernements que pour les individus.
49,établir,Mettre en place ou créer quelque chose de manière solide.,Le gouvernement a créé un nouvel organisme de réglementation chargé de superviser le secteur financier.
50,évaluer,Évaluer la valeur ou la qualité de quelque chose.,Il est essentiel d'évaluer de manière critique les sources d'information avant de les citer.
51,preuve,Des faits ou des informations étayant une conclusion.,Il existe de solides preuves empiriques liant le tabagisme à diverses maladies graves.
52,examiner,Examiner ou inspecter quelque chose attentivement.,Cet essai examinera la relation entre les inégalités économiques et les taux de criminalité.
53,développer,"Augmenter en taille, en nombre ou en portée.",De nombreuses entreprises cherchent à étendre leurs activités aux marchés émergents d'Asie.
54,attendre,Croire que quelque chose se produira dans le futur.,On s'attend généralement à ce que l'automatisation transforme le paysage de l'emploi d'ici quelques décennies.
55,expérience,Connaissances ou compétences acquises par la pratique.,Les stages en entreprise permettent aux étudiants de développer des compétences pratiques pour leur futur emploi.
56,expliquer,Clarifier quelque chose en le décrivant.,La capacité de la professeure à expliquer clairement des théories complexes lui a valu un grand respect.
57,facteur,Un élément qui contribue à un résultat.,L'alimentation et l'exercice physique sont des facteurs clés pour déterminer la santé à long terme d'un individu.
58,fonctionnalité,Une caractéristique ou un attribut distinctif de quelque chose.,Un élément clé d'une planification urbaine réussie est la mise à disposition d'espaces verts accessibles.
59,se concentrer,Concentrer son attention ou ses efforts sur quelque chose.,La politique gouvernementale devrait se concentrer sur la fourniture de logements abordables aux familles à faibles revenus.
60,fonction,Le but ou le rôle que quelque chose est conçu pour remplir.,La fonction principale du système immunitaire est de protéger l'organisme contre les maladies.
61,générer,Produire ou créer quelque chose.,Les panneaux solaires peuvent produire suffisamment d'électricité pour alimenter une maison entière.
62,mondial,Relatif au monde entier ou le couvrant.,La coopération mondiale est essentielle pour relever efficacement les défis du changement climatique.
