id,front,back,example
1,प्राप्त करना,किसी लक्ष्य या परिणाम को सफलतापूर्वक प्राप्त करना।,"जो छात्र स्पष्ट लक्ष्य निर्धारित करते हैं, उनके शैक्षणिक सफलता प्राप्त करने की संभावना अधिक होती है।"
2,चाहना,किसी चीज पर प्रभाव या असर डालना।,वायु प्रदूषण शहरी आबादी के स्वास्थ्य पर प्रतिकूल प्रभाव डाल सकता है।
3,विश्लेषण करें,किसी चीज को समझने के लिए उसका विस्तार से अध्ययन करना।,निष्कर्ष निकालने से पहले शोधकर्ताओं को आंकड़ों का सावधानीपूर्वक विश्लेषण करना चाहिए।
4,दृष्टिकोण,किसी समस्या से निपटने का एक तरीका या विधि।,शिक्षा के प्रति एक समग्र दृष्टिकोण छात्रों की सामाजिक और भावनात्मक आवश्यकताओं को ध्यान में रखता है।
5,पहलू,किसी वस्तु का एक विशेष भाग या विशेषता।,सतत विकास का एक प्रमुख पहलू कार्बन उत्सर्जन को कम करना है।
6,आकलन,किसी चीज की गुणवत्ता का मूल्यांकन या आकलन करना।,सरकारों को नई औद्योगिक परियोजनाओं के पर्यावरणीय प्रभाव का आकलन करना चाहिए।
7,मान लीजिए,किसी बात को बिना प्रमाण के सच मान लेना।,अक्सर यह मान लिया जाता है कि आर्थिक विकास से जीवन स्तर में स्वतः सुधार होता है।
8,नज़रिया,किसी विषय के बारे में एक दृढ़ राय या भावना।,हाल के वर्षों में नवीकरणीय ऊर्जा के प्रति जनमानस में महत्वपूर्ण बदलाव आया है।
9,उपलब्ध,उपयोग करने योग्य या प्राप्त करने योग्य।,इंटरनेट की सुविधा सभी नागरिकों को आय की परवाह किए बिना उपलब्ध कराई जानी चाहिए।
10,फ़ायदा,किसी चीज से मिलने वाला लाभ या सकारात्मक परिणाम।,नियमित व्यायाम शारीरिक और मानसिक स्वास्थ्य दोनों के लिए अनेक लाभ प्रदान करता है।
11,कारण,कोई ऐसी चीज जो कोई प्रभाव या परिणाम उत्पन्न करती है।,गरीबी को अक्सर सामाजिक असमानता का मूल कारण बताया जाता है।
