id,front,back,example
1,meraih,Untuk berhasil mencapai suatu tujuan atau hasil.,Siswa yang menetapkan tujuan yang jelas lebih mungkin mencapai kesuksesan akademis.
2,影响,对某事产生影响或作用。,空气污染会对城市居民的健康产生不利影响。
3,分析,仔细检查某事物以了解它。,研究人员必须仔细分析数据才能得出结论。
4,方法,处理某事的方法或途径。,整体教育方法会考虑学生的社交和情感需求。
5,方面,某物的特定部分或特征。,可持续发展的一个关键方面是减少碳排放。
6,评估,评价或判断某事物的质量。,各国政府必须评估新建工业项目对环境的影响。
7,认为,未经证明就接受某事为真。,人们通常认为经济增长会自动提高生活水平。
8,态度,对某事形成既定的观点或感受。,近年来，公众对可再生能源的态度发生了显著转变。
9,可用的,能够使用或获得。,无论收入高低，所有公民都应该享有互联网接入权。
10,益处,从某事中获得的优势或积极成果。,规律运动对身心健康都有诸多益处。
11,原因,产生效果或结果的事物。,贫困经常被认为是社会不平等的根源之一。
12,挑战,需要付出努力才能解决的难题或任务。,气候变化是现代社会面临的最大挑战之一。
13,公民,国家法律认可的成员。,参与民主选举是每个公民的义务。
14,宣称,将某事陈述为真或要求为权利。,一些研究人员声称，社交媒体对青少年心理健康有害。
15,分类,将事物分类或分组。,科学家根据生物体的遗传和物理特征对其进行分类。
16,社区,一群拥有共同地点或兴趣的人。,强大的社区支持网络有助于减少老年人的社会孤立。
17,比较,分析事物之间的异同。,本文将比较公共医疗体系和私人医疗体系的有效性。
18,复杂的,由许多相互连接的部件组成；难以理解。,贫困与犯罪之间的关系非常复杂且涉及多方面。
19,概念,抽象概念或一般原则。,可持续发展理念是现代环境政策的核心。
20,忧虑,令人担忧或引起关注的问题或担忧。,人们越来越关注塑料污染问题，这促使许多政府采取行动。
21,结束,经过推理后做出决定或判断。,该研究得出结论，经常锻炼能显著降低患抑郁症的风险。
22,状况,影响某事物的状态或情况。,改善农村地区的生活条件仍然是政策制定者的首要任务。
23,执行,进行某项活动；行为或方式。,该大学将开展一项为期五年的学生福祉纵向研究。
24,结果,行动或事件的结果或影响。,森林砍伐对生物多样性和全球气候模式造成了严重后果。
25,考虑,在做决定之前仔细考虑。,政策制定者必须考虑提高退休年龄的长期影响。
26,由,由部分组成。,均衡的饮食应该包括蛋白质、碳水化合物、脂肪、维生素和矿物质。
27,消耗,消耗资源或吃/喝东西。,发达国家人均自然资源消耗量远高于发展中国家。
28,贡献,为集体努力或成果做出贡献或贡献。,志愿服务对个人发展和社区福祉都有着巨大的贡献。
29,控制,对某事物进行管控或拥有控制权。,为治理空气污染，政府必须加强对工业排放的管控。
30,创造,使某物存在。,投资可再生能源可以为整个经济创造数千个新的就业岗位。
31,文化,一个社会的信仰、习俗和艺术。,全球化既丰富了世界各地的本土文化，也对其构成了威胁。
32,数据,为分析而收集的事实或统计数据。,可靠的数据对于制定有效的公共卫生政策至关重要。
33,衰退,随着时间推移而减小或变小。,近几十年来，由于人类活动，生物多样性急剧下降。
34,定义,阐明某事物的含义或性质。,在讨论政策解决方案之前，明确“可持续性”一词的定义非常重要。
35,要求,对商品或服务的需求或欲望。,电动汽车需求的不断增长正在推动电池技术的创新。
36,依赖,依靠某人或某事获得支持。,许多发展中国家在基础设施建设方面严重依赖外国援助。
37,描述,用语言描述某事。,报告指出，自 1950 年以来，全球平均气温显著上升。
38,发展,发展、进步或创造新事物。,各国必须发展可持续农业，以满足不断增长的人口需求。
39,不同之处,事物彼此不同的方式。,城市人口和农村人口的收入水平存在显著差异。
40,分发,将某物散布或运送到某个区域。,政府有责任在公民之间公平地分配公共资源。
41,各种各样的,包括许多不同类型或品种。,多元化的员工队伍能为组织带来更广泛的视角和想法。
42,经济的,与货币的生产和使用有关。,亚洲经济的快速发展使数百万人摆脱了贫困。
43,教育,接受系统性指导的过程。,获得优质教育被广泛认为是一项基本人权。
44,影响,由某种原因引起的改变或结果。,睡眠不足对认知功能的长期影响已有充分的文献记载。
45,出现,出现或为人所知。,新技术不断涌现，成为解决全球能源危机的方案。
46,采用,雇佣某人工作并支付报酬。,制造业仍然是全国劳动力的主要就业部门。
