id,front,back,example
1,mencapai,Untuk mencapai matlamat atau hasil dengan jayanya.,Pelajar yang menetapkan objektif yang jelas lebih cenderung untuk mencapai kejayaan akademik.
2,mempengaruhi,Memberi kesan atau pengaruh terhadap sesuatu.,Pencemaran udara boleh menjejaskan kesihatan penduduk bandar secara negatif.
3,menganalisis,Untuk mengkaji sesuatu secara terperinci bagi memahaminya.,Penyelidik perlu menganalisis data dengan teliti sebelum membuat kesimpulan.
4,pendekatan,Kaedah atau cara untuk menangani sesuatu.,Pendekatan pendidikan holistik mengambil kira keperluan sosial dan emosi pelajar.
5,aspek,Bahagian atau ciri tertentu sesuatu.,Satu aspek penting dalam pembangunan lestari ialah pengurangan pelepasan karbon.
6,menilai,Untuk menilai atau menilai kualiti sesuatu.,Kerajaan mesti menilai impak alam sekitar daripada projek perindustrian baharu.
7,menganggap,Menerima sesuatu sebagai benar tanpa bukti.,Sering kali diandaikan bahawa pertumbuhan ekonomi secara automatik meningkatkan taraf hidup.
8,sikap,Pendapat atau perasaan yang tetap tentang sesuatu.,Sikap orang ramai terhadap tenaga boleh diperbaharui telah berubah dengan ketara sejak kebelakangan ini.
9,tersedia,Boleh digunakan atau diperolehi.,Akses internet perlu disediakan kepada semua rakyat tanpa mengira pendapatan.
10,manfaat,Kelebihan atau hasil positif daripada sesuatu.,Senaman yang kerap memberikan banyak manfaat untuk kesihatan fizikal dan mental.
11,menyebabkan,Sesuatu yang menghasilkan kesan atau hasil.,Kemiskinan sering disebut sebagai punca utama ketidaksamaan sosial.
12,cabaran,Masalah atau tugas yang sukar yang memerlukan usaha.,Perubahan iklim merupakan salah satu cabaran terbesar yang dihadapi oleh masyarakat moden.
13,warganegara,Ahli sesebuah negeri yang diiktiraf secara sah.,Adalah menjadi tanggungjawab setiap warganegara untuk mengambil bahagian dalam pilihan raya demokrasi.
14,tuntutan,Untuk menyatakan sesuatu yang benar atau menuntut sebagai hak.,Sesetengah penyelidik mendakwa bahawa media sosial merosakkan kesihatan mental remaja.
15,mengklasifikasikan,Untuk menyusun sesuatu ke dalam kategori atau kumpulan.,Para saintis mengklasifikasikan organisma mengikut ciri genetik dan fizikalnya.
16,komuniti,Sekumpulan orang yang berkongsi lokasi atau minat.,Rangkaian sokongan komuniti yang kukuh membantu mengurangkan pengasingan sosial dalam kalangan warga emas.
17,bandingkan,Untuk mengkaji persamaan dan perbezaan antara sesuatu.,Esei ini akan membandingkan keberkesanan sistem penjagaan kesihatan awam dan swasta.
18,kompleks,Diperbuat daripada banyak bahagian yang saling berkaitan; sukar difahami.,Hubungan antara kemiskinan dan jenayah adalah sangat kompleks dan pelbagai aspek.
19,konsep,Idea abstrak atau prinsip umum.,Konsep kemampanan adalah penting kepada dasar alam sekitar moden.
20,kebimbangan,Kebimbangan atau isu yang menyebabkan kebimbangan atau minat.,Kebimbangan yang semakin meningkat terhadap pencemaran plastik telah mendorong banyak kerajaan untuk bertindak.
