id,front,back,example
1,достигать,Успешно достичь цели или результата.,"Учащиеся, которые ставят перед собой четкие цели, с большей вероятностью добьются академических успехов."
2,оказывать воздействие,Оказывать влияние на что-либо.,Загрязнение воздуха может негативно сказаться на здоровье городского населения.
3,анализировать,"Изучить что-либо детально, чтобы понять это.","Перед тем как делать выводы, исследователи должны тщательно анализировать данные."
4,подход,Метод или способ решения чего-либо.,Целостный подход к образованию учитывает социальные и эмоциональные потребности учащихся.
5,аспект,Отдельная часть или особенность чего-либо.,Одним из ключевых аспектов устойчивого развития является сокращение выбросов углекислого газа.
6,оценивать,Оценить или определить качество чего-либо.,Правительства обязаны оценивать воздействие новых промышленных проектов на окружающую среду.
7,предполагать,Принимать что-либо за истину без доказательств.,"Часто предполагается, что экономический рост автоматически повышает уровень жизни."
8,отношение,Устоявшееся мнение или чувство по какому-либо вопросу.,За последние годы отношение общественности к возобновляемым источникам энергии значительно изменилось.
9,доступный,Может быть использован или получен.,Доступ к интернету должен быть обеспечен всем гражданам независимо от уровня дохода.
10,выгода,Преимущество или положительный результат чего-либо.,"Регулярные физические упражнения приносят многочисленные преимущества как физическому, так и психическому здоровью."
11,причина,"Что-либо, что производит эффект или результат.",Бедность часто называют одной из основных причин социального неравенства.
12,испытание,"Сложная проблема или задача, требующая усилий.","Изменение климата представляет собой одну из самых серьезных проблем, стоящих перед современным обществом."
13,гражданин,Законно признанный член государства.,Участие в демократических выборах – это долг каждого гражданина.
14,требовать,Утверждать что-либо как истину или требовать что-либо как право.,"Некоторые исследователи утверждают, что социальные сети наносят вред психическому здоровью подростков."
15,классифицировать,Распределить вещи по категориям или группам.,Ученые классифицируют организмы в соответствии с их генетическими и физическими характеристиками.
16,сообщество,"Группа людей, объединенных общим местоположением или интересами.",Развитые сети социальной поддержки в обществе помогают снизить социальную изоляцию среди пожилых людей.
17,сравнивать,Изучить сходства и различия между вещами.,В этом эссе будет проведено сравнение эффективности государственной и частной систем здравоохранения.
18,сложный,Состоит из множества взаимосвязанных частей; сложно понять.,Взаимосвязь между бедностью и преступностью чрезвычайно сложна и многогранна.
19,концепция,Абстрактная идея или общий принцип.,Концепция устойчивого развития занимает центральное место в современной экологической политике.
20,беспокойство,"Беспокойство или проблема, вызывающая тревогу или интерес.",Растущая обеспокоенность по поводу загрязнения пластиком побудила многие правительства принять меры.
21,заключение,Принять решение или вынести суждение после рассуждений.,"Исследование пришло к выводу, что регулярные физические упражнения значительно снижают риск развития депрессии."
22,состояние,"Состояние или обстоятельства, влияющие на что-либо.",Улучшение условий жизни в сельской местности остается приоритетной задачей для политиков.
23,руководить,Выполнять какое-либо действие; вести себя или действовать определенным образом.,Университет проведет долгосрочное исследование благополучия студентов в течение пяти лет.
24,последствие,Результат или следствие действия или события.,Вырубка лесов имеет серьезные последствия для биоразнообразия и глобальных климатических условий.
25,учитывать,"Тщательно обдумать что-либо, прежде чем принимать решение.","Лица, принимающие политические решения, должны учитывать долгосрочные последствия повышения пенсионного возраста."
26,состоять,Состоящий из частей.,"Сбалансированное питание должно включать белки, углеводы, жиры, витамины и минералы."
27,потреблять,Израсходовать ресурс или съесть/выпить что-либо.,"Развитые страны потребляют гораздо больше природных ресурсов на душу населения, чем развивающиеся."
28,способствовать,Внести свой вклад в коллективные усилия или результат.,"Волонтерская деятельность может внести значительный вклад как в личностное развитие, так и в благополучие общества."
29,контроль,Регулируть что-либо или обладать властью над чем-либо.,Для борьбы с загрязнением воздуха необходим более строгий государственный контроль за промышленными выбросами.
30,создавать,Создать нечто.,Инвестиции в возобновляемые источники энергии могут создать тысячи новых рабочих мест в различных секторах экономики.
31,культура,"Верования, обычаи и искусство общества.",Глобализация одновременно обогатила и поставила под угрозу местные культуры по всему миру.
32,данные,"Факты или статистические данные, собранные для анализа.",Надежные данные необходимы для разработки эффективной политики в области общественного здравоохранения.
33,отклонить,Уменьшаться или становиться меньше с течением времени.,В последние десятилетия наблюдается резкое сокращение биоразнообразия в результате деятельности человека.
34,определять,Изложить смысл или природу чего-либо.,"Прежде чем обсуждать политические решения, важно четко определить термин «устойчивое развитие»."
35,требовать,Потребность или желание в товаре или услуге.,Растущий спрос на электромобили стимулирует инновации в аккумуляторных технологиях.
36,зависеть,Полагаться на кого-либо или что-либо в плане поддержки.,Многие развивающиеся страны в значительной степени зависят от иностранной помощи для развития базовой инфраструктуры.
37,описывать,Изложить что-либо словами.,В докладе описывается значительное повышение среднемировой температуры с 1950 года.
38,развивать,"Развиваться, прогрессировать или создавать что-то новое.",Для удовлетворения потребностей растущего населения странам необходимо развивать устойчивое сельское хозяйство.
39,разница,Одно из отличий вещей друг от друга.,Существует значительная разница в уровне доходов между городским и сельским населением.
40,распространять,Распространить или доставить что-либо на определенную территорию.,Правительства несут ответственность за справедливое распределение государственных ресурсов среди граждан.
41,разнообразный,Включая множество различных типов или разновидностей.,Разнообразный состав сотрудников привносит в организацию более широкий спектр точек зрения и идей.
42,экономический,Относящийся к производству и использованию денег.,Стремительное экономическое развитие позволило миллионам людей в Азии выбраться из нищеты.
43,образование,Процесс получения систематического обучения.,Доступ к качественному образованию широко рассматривается как основополагающее право человека.
44,эффект,"Изменение или результат, вызванный причиной.",Долгосрочные последствия недосыпания для когнитивных функций хорошо задокументированы.
45,появляться,Возникнуть или стать известным.,В качестве решений глобального энергетического кризиса продолжают появляться новые технологии.
46,использовать,Нанять кого-либо на работу за плату.,Производственный сектор по-прежнему обеспечивает занятость значительной части рабочей силы страны.
47,энергия,"Энергия, получаемая из природных или переработанных ресурсов.",Переход на возобновляемые источники энергии имеет решающее значение для сокращения выбросов парниковых газов.
48,среда,Природный мир или окружение организма.,"Защита окружающей среды должна быть приоритетом как для правительств, так и для отдельных лиц."
49,учреждать,Создать или заложить прочную основу для чего-либо.,Правительство создало новый регулирующий орган для надзора за финансовым сектором.
50,оценивать,Оценить ценность или качество чего-либо.,"Перед тем как цитировать источники информации, крайне важно критически оценивать их."
51,доказательство,"Факты или информация, подтверждающие вывод.",Существуют убедительные эмпирические доказательства связи курения с целым рядом серьезных заболеваний.
52,исследовать,Тщательно исследовать или осмотреть что-либо.,В этом эссе будет рассмотрена взаимосвязь между экономическим неравенством и уровнем преступности.
