id,front,back,example
1,başarmak,Bir hedefe veya sonuca başarıyla ulaşmak.,Net hedefler belirleyen öğrencilerin akademik başarıya ulaşma olasılığı daha yüksektir.
2,etkilemek,Bir şey üzerinde etki veya nüfuz sahibi olmak.,"Hava kirliliği, kent nüfusunun sağlığını olumsuz etkileyebilir."
3,analiz et,Bir şeyi anlamak için ayrıntılı olarak incelemek.,Araştırmacılar sonuç çıkarmadan önce verileri dikkatlice analiz etmelidir.
4,yaklaşmak,Bir şeyle başa çıkma yöntemi veya yolu.,"Eğitime bütüncül bir yaklaşım, öğrencilerin sosyal ve duygusal ihtiyaçlarını dikkate alır."
5,bakış açısı,Bir şeyin belirli bir bölümü veya özelliği.,Sürdürülebilir kalkınmanın en önemli yönlerinden biri karbon emisyonlarının azaltılmasıdır.
6,değer biçmek,Bir şeyin kalitesini değerlendirmek veya yargılamak.,"Hükümetler, yeni sanayi projelerinin çevresel etkilerini değerlendirmek zorundadır."
7,farz etmek,Bir şeyi kanıt olmadan doğru kabul etmek.,Genellikle ekonomik büyümenin yaşam standartlarını otomatik olarak iyileştirdiği varsayılır.
8,davranış,Bir şey hakkındaki yerleşik görüş veya duygu.,Son yıllarda yenilenebilir enerjiye yönelik kamuoyu tutumları önemli ölçüde değişti.
9,mevcut,Kullanılabilir veya elde edilebilir.,"İnternet erişimi, gelir düzeyine bakılmaksızın tüm vatandaşlara sağlanmalıdır."
10,fayda,Bir şeyden elde edilen avantaj veya olumlu sonuç.,Düzenli egzersiz hem fiziksel hem de zihinsel sağlık için sayısız fayda sağlar.
11,neden,Bir etki veya sonuç üreten şey.,"Yoksulluk, sıklıkla sosyal eşitsizliğin temel nedenlerinden biri olarak gösterilmektedir."
12,meydan okumak,Çaba gerektiren zor bir problem veya görev.,"İklim değişikliği, modern toplumun karşı karşıya olduğu en büyük zorluklardan birini temsil etmektedir."
13,vatandaş,Bir devletin yasal olarak tanınmış üyesi.,Demokratik seçimlere katılmak her vatandaşın görevidir.
14,iddia,Bir şeyi doğru olarak belirtmek veya bir hak olarak talep etmek.,"Bazı araştırmacılar, sosyal medyanın ergenlerin ruh sağlığına zarar verdiğini iddia ediyor."
15,sınıflandırmak,Nesneleri kategorilere veya gruplara ayırmak.,Bilim insanları organizmaları genetik ve fiziksel özelliklerine göre sınıflandırırlar.
16,toplum,Aynı yeri veya ilgi alanını paylaşan bir grup insan.,"Güçlü topluluk destek ağları, yaşlılar arasında sosyal izolasyonu azaltmaya yardımcı olur."
17,karşılaştırmak,Şeyler arasındaki benzerlikleri ve farklılıkları incelemek.,"Bu makale, kamu ve özel sağlık sistemlerinin etkinliğini karşılaştıracaktır."
18,karmaşık,Birbirine bağlı birçok parçadan oluşur; anlaşılması zordur.,Yoksulluk ve suç arasındaki ilişki son derece karmaşık ve çok yönlüdür.
19,kavram,Soyut bir fikir veya genel bir ilke.,"Sürdürülebilirlik kavramı, modern çevre politikasının merkezinde yer almaktadır."
20,kaygı,Kaygıya veya ilgiye neden olan bir endişe veya konu.,Plastik kirliliğine ilişkin artan endişeler birçok hükümeti harekete geçmeye sevk etti.
21,sonuçlandırmak,Akıl yürütme sonucunda bir karara veya yargıya varmak.,"Çalışma, düzenli egzersizin depresyon riskini önemli ölçüde azalttığı sonucuna varmıştır."
22,durum,Bir şeyi etkileyen durum veya koşullar.,"Kırsal bölgelerdeki yaşam koşullarının iyileştirilmesi, politika yapıcılar için öncelikli bir konu olmaya devam etmektedir."
23,yönetmek,Bir faaliyeti gerçekleştirmek; bir davranış veya bir tarz sergilemek.,"Üniversite, beş yıl boyunca öğrenci refahı üzerine uzunlamasına bir araştırma yürütecektir."
24,sonuçlar,Bir eylemin veya olayın sonucu veya etkisi.,"Ormanların yok edilmesi, biyoçeşitlilik ve küresel iklim düzenleri açısından ciddi sonuçlar doğurmaktadır."
25,dikkate almak,Bir şeye karar vermeden önce iyice düşünmek.,"Politika yapıcılar, emeklilik yaşının yükseltilmesinin uzun vadeli sonuçlarını göz önünde bulundurmalıdır."
26,meydana gelmek,Parçalardan oluşmuş veya meydana gelmiş olmak.,"Dengeli bir beslenme, proteinler, karbonhidratlar, yağlar, vitaminler ve minerallerden oluşmalıdır."
27,tüketmek,Bir kaynağı tüketmek veya bir şey yemek/içmek.,"Gelişmiş ülkeler, gelişmekte olan ülkelere kıyasla kişi başına çok daha fazla doğal kaynak tüketmektedir."
28,katkı yapmak,Ortak bir çabaya veya sonuca katkıda bulunmak veya eklemek.,Gönüllülük hem kişisel gelişime hem de toplumsal refaha büyük katkı sağlayabilir.
29,kontrol,Bir şeyi düzenlemek veya üzerinde yetkiye sahip olmak.,Hava kirliliğiyle mücadele etmek için endüstriyel emisyonların hükümet tarafından daha sıkı bir şekilde kontrol edilmesi gerekmektedir.
