id,front,back,example
1,حاصل کرنا,کامیابی کے ساتھ کسی مقصد یا نتیجے تک پہنچنے کے لیے۔,جو طلباء واضح مقاصد کا تعین کرتے ہیں ان کے تعلیمی کامیابی کے امکانات زیادہ ہوتے ہیں۔
2,متاثر,کسی چیز پر اثر یا اثر ڈالنا۔,فضائی آلودگی شہری آبادی کی صحت کو بری طرح متاثر کر سکتی ہے۔
3,تجزیہ,کسی چیز کو سمجھنے کے لیے تفصیل سے جانچنا۔,محققین کو نتائج اخذ کرنے سے پہلے ڈیٹا کا بغور تجزیہ کرنا چاہیے۔
4,نقطہ نظر,کسی چیز سے نمٹنے کا ایک طریقہ یا طریقہ۔,تعلیم کے لیے ایک جامع نقطہ نظر طلباء کی سماجی اور جذباتی ضروریات پر غور کرتا ہے۔
5,پہلو,کسی چیز کا ایک خاص حصہ یا خصوصیت۔,پائیدار ترقی کا ایک اہم پہلو کاربن کے اخراج کو کم کرنا ہے۔
6,اندازہ لگانا,کسی چیز کے معیار کو جانچنا یا جانچنا۔,حکومتوں کو نئے صنعتی منصوبوں کے ماحولیاتی اثرات کا جائزہ لینا چاہیے۔
7,فرض کریں,کسی چیز کو بغیر ثبوت کے سچ مان لینا۔,اکثر یہ خیال کیا جاتا ہے کہ معاشی ترقی خود بخود معیار زندگی کو بہتر بناتی ہے۔
8,رویہ,کسی چیز کے بارے میں طے شدہ رائے یا احساس۔,حالیہ برسوں میں قابل تجدید توانائی کی طرف عوامی رویوں میں نمایاں تبدیلی آئی ہے۔
9,دستیاب,استعمال کرنے یا حاصل کرنے کے قابل۔,آمدنی سے قطع نظر تمام شہریوں کو انٹرنیٹ تک رسائی فراہم کی جانی چاہیے۔
10,فائدہ,کسی چیز سے فائدہ یا مثبت نتیجہ۔,باقاعدگی سے ورزش جسمانی اور دماغی صحت دونوں کے لیے بے شمار فوائد فراہم کرتی ہے۔
11,وجہ,کوئی ایسی چیز جو اثر یا نتیجہ پیدا کرے۔,غربت کو اکثر سماجی عدم مساوات کی بنیادی وجہ قرار دیا جاتا ہے۔
12,چیلنج,ایک مشکل مسئلہ یا کام جس میں کوشش کی ضرورت ہوتی ہے۔,موسمیاتی تبدیلی جدید معاشرے کو درپیش سب سے بڑے چیلنجوں میں سے ایک کی نمائندگی کرتی ہے۔
13,شہری,کسی ریاست کا قانونی طور پر تسلیم شدہ رکن۔,جمہوری انتخابات میں حصہ لینا ہر شہری کا فرض ہے۔
14,دعوی,کسی چیز کو سچ بتانا یا حق کے طور پر مطالبہ کرنا۔,کچھ محققین کا دعویٰ ہے کہ سوشل میڈیا نوعمروں کی ذہنی صحت کے لیے نقصان دہ ہے۔
15,درجہ بندی,چیزوں کو زمروں یا گروہوں میں ترتیب دینا۔,سائنس دان حیاتیات کو ان کی جینیاتی اور جسمانی خصوصیات کے مطابق درجہ بندی کرتے ہیں۔
16,برادری,لوگوں کا ایک گروپ جو مقام یا دلچسپی کا اشتراک کر رہا ہے۔,مضبوط کمیونٹی سپورٹ نیٹ ورک بزرگوں میں سماجی تنہائی کو کم کرنے میں مدد کرتے ہیں۔
17,موازنہ,چیزوں کے درمیان مماثلت اور فرق کو جانچنا۔,یہ مضمون سرکاری اور نجی صحت کی دیکھ بھال کے نظام کی تاثیر کا موازنہ کرے گا۔
18,پیچیدہ,کئی ایک دوسرے سے جڑے حصوں سے بنا؛ سمجھنے کے لئے مشکل.,غربت اور جرائم کے درمیان تعلق انتہائی پیچیدہ اور کثیر جہتی ہے۔
19,تصور,ایک تجریدی خیال یا عمومی اصول۔,پائیداری کا تصور جدید ماحولیاتی پالیسی میں مرکزی حیثیت رکھتا ہے۔
20,تشویش,ایک پریشانی یا مسئلہ جو اضطراب یا دلچسپی کا سبب بنتا ہے۔,پلاسٹک کی آلودگی پر بڑھتی ہوئی تشویش نے بہت سی حکومتوں کو کارروائی کرنے پر اکسایا ہے۔
21,نتیجہ اخذ کرنا,استدلال کے بعد کسی فیصلے یا فیصلے تک پہنچنا۔,تحقیق میں یہ نتیجہ اخذ کیا گیا ہے کہ باقاعدگی سے ورزش ڈپریشن کے خطرے کو کافی حد تک کم کرتی ہے۔
