id,front,back,example
1,đạt được,Đạt được mục tiêu hoặc kết quả một cách thành công.,Những học sinh đặt ra mục tiêu rõ ràng có nhiều khả năng đạt được thành công trong học tập hơn.
2,ảnh hưởng,Gây ảnh hưởng hoặc tác động đến điều gì đó.,Ô nhiễm không khí có thể ảnh hưởng xấu đến sức khỏe của người dân đô thị.
3,phân tích,Xem xét kỹ lưỡng một vấn đề để hiểu rõ nó.,Các nhà nghiên cứu phải phân tích dữ liệu cẩn thận trước khi đưa ra kết luận.
4,tiếp cận,Phương pháp hoặc cách thức giải quyết một vấn đề nào đó.,Cách tiếp cận toàn diện trong giáo dục cần xem xét đến nhu cầu về mặt xã hội và cảm xúc của học sinh.
5,diện mạo,Một phần hoặc đặc điểm cụ thể của một cái gì đó.,Một khía cạnh quan trọng của phát triển bền vững là giảm lượng khí thải carbon.
6,đánh giá,Đánh giá hoặc nhận xét chất lượng của một thứ gì đó.,Chính phủ phải đánh giá tác động môi trường của các dự án công nghiệp mới.
7,cho rằng,Chấp nhận một điều gì đó là đúng mà không cần bằng chứng.,Người ta thường cho rằng tăng trưởng kinh tế sẽ tự động cải thiện mức sống.
8,thái độ,Một quan điểm hoặc cảm nhận đã được định hình về một điều gì đó.,Thái độ của công chúng đối với năng lượng tái tạo đã thay đổi đáng kể trong những năm gần đây.
9,có sẵn,Có thể sử dụng hoặc có được.,"Mọi công dân, bất kể thu nhập, đều nên được tiếp cận internet."
10,lợi ích,Một lợi thế hoặc kết quả tích cực từ một điều gì đó.,Tập thể dục thường xuyên mang lại nhiều lợi ích cho cả sức khỏe thể chất và tinh thần.
11,gây ra,Thứ gì đó tạo ra hiệu ứng hoặc kết quả.,Nghèo đói thường được coi là nguyên nhân gốc rễ của bất bình đẳng xã hội.
12,thử thách,Một vấn đề hoặc nhiệm vụ khó khăn đòi hỏi nhiều nỗ lực.,Biến đổi khí hậu là một trong những thách thức lớn nhất mà xã hội hiện đại đang phải đối mặt.
13,công dân,Một thành viên được pháp luật công nhận của một quốc gia.,Tham gia bầu cử dân chủ là nghĩa vụ của mỗi công dân.
14,khẳng định,Khẳng định điều gì đó là đúng hoặc yêu cầu như một quyền lợi.,Một số nhà nghiên cứu cho rằng mạng xã hội gây hại cho sức khỏe tâm thần của thanh thiếu niên.
15,phân loại,Sắp xếp mọi thứ thành các loại hoặc nhóm.,Các nhà khoa học phân loại sinh vật dựa trên đặc điểm di truyền và hình thái của chúng.
16,cộng đồng,Một nhóm người cùng chia sẻ một địa điểm hoặc sở thích.,Mạng lưới hỗ trợ cộng đồng vững mạnh giúp giảm thiểu sự cô lập xã hội ở người cao tuổi.
17,so sánh,Để so sánh những điểm giống và khác nhau giữa các sự vật.,Bài luận này sẽ so sánh hiệu quả của hệ thống chăm sóc sức khỏe công lập và tư nhân.
18,tổ hợp,Được cấu tạo từ nhiều bộ phận liên kết với nhau; rất khó hiểu.,Mối quan hệ giữa nghèo đói và tội phạm vô cùng phức tạp và đa chiều.
19,ý tưởng,Một ý tưởng trừu tượng hoặc nguyên tắc chung.,Khái niệm về tính bền vững là trọng tâm của chính sách môi trường hiện đại.
20,bận tâm,Một mối lo lắng hoặc vấn đề gây ra sự băn khoăn hoặc quan tâm.,Mối lo ngại ngày càng tăng về ô nhiễm nhựa đã thúc đẩy nhiều chính phủ hành động.
